lemma,present,preteritum,supine,class,english
tacka,tackar,tackade,tackat,weak1,to thank
klara,klarar,klarade,klarat,weak1,to manage
bruka,brukar,brukade,brukat,weak1,to usually do
packa,packar,packade,packat,weak1,to pack
plocka,plockar,plockade,plockat,weak1,to pick
ropa,ropar,ropade,ropat,weak1,to shout
gilla,gillar,gillade,gillat,weak1,to like
hata,hatar,hatade,hatat,weak1,to hate
sakna,saknar,saknade,saknat,weak1,to miss / lack
räkna,räknar,räknade,räknat,weak1,to count
öka,ökar,ökade,ökat,weak1,to increase
fira,firar,firade,firat,weak1,to celebrate
spara,sparar,sparade,sparat,weak1,to save
ordna,ordnar,ordnade,ordnat,weak1,to arrange
samla,samlar,samlade,samlat,weak1,to collect
bada,badar,badade,badat,weak1,to bathe / swim
cykla,cyklar,cyklade,cyklat,weak1,to cycle
promenera,promenerar,promenerade,promenerat,weak1,to walk
studera,studerar,studerade,studerat,weak1,to study
diskutera,diskuterar,diskuterade,diskuterat,weak1,to discuss
reagera,reagerar,reagerade,reagerat,weak1,to react
informera,informerar,informerade,informerat,weak1,to inform
organisera,organiserar,organiserade,organiserat,weak1,to organise
planera,planerar,planerade,planerat,weak1,to plan
fotografera,fotograferar,fotograferade,fotograferat,weak1,to photograph
kopiera,kopierar,kopierade,kopierat,weak1,to copy
reparera,reparerar,reparerade,reparerat,weak1,to repair
servera,serverar,serverade,serverat,weak1,to serve
boka,bokar,bokade,bokat,weak1,to book
parkera,parkerar,parkerade,parkerat,weak1,to park
vakna,vaknar,vaknade,vaknat,weak1,to wake up
somna,somnar,somnade,somnat,weak1,to fall asleep
jobba,jobbar,jobbade,jobbat,weak1,to work
duscha,duschar,duschade,duschat,weak1,to shower
skynda,skyndar,skyndade,skyndat,weak1,to hurry
mata,matar,matade,matat,weak1,to feed
önska,önskar,önskade,önskat,weak1,to wish
laga,lagar,lagade,lagat,weak1,to fix / cook
städa,städar,städade,städat,weak1,to clean
tvätta,tvättar,tvättade,tvättat,weak1,to wash
baka,bakar,bakade,bakat,weak1,to bake
handla,handlar,handlade,handlat,weak1,to shop / act
rita,ritar,ritade,ritat,weak1,to draw
måla,målar,målade,målat,weak1,to paint
dansa,dansar,dansade,dansat,weak1,to dance
lyssna,lyssnar,lyssnade,lyssnat,weak1,to listen
hoppa,hoppar,hoppade,hoppat,weak1,to jump
klättra,klättrar,klättrade,klättrat,weak1,to climb
simma,simmar,simmade,simmat,weak1,to swim
skratta,skrattar,skrattade,skrattat,weak1,to laugh
rädda,räddar,räddade,räddat,weak1,to rescue
vila,vilar,vilade,vilat,weak1,to rest
tröttna,tröttnar,tröttnade,tröttnat,weak1,to grow tired
lugna,lugnar,lugnade,lugnat,weak1,to calm
oroa,oroar,oroade,oroat,weak1,to worry
kosta,kostar,kostade,kostat,weak1,to cost
passa,passar,passade,passat,weak1,to fit / suit
hälsa,hälsar,hälsade,hälsat,weak1,to greet
fixa,fixar,fixade,fixat,weak1,to fix
testa,testar,testade,testat,weak1,to test
starta,startar,startade,startat,weak1,to start
stoppa,stoppar,stoppade,stoppat,weak1,to stop
tanka,tankar,tankade,tankat,weak1,to refuel
träna,tränar,tränade,tränat,weak1,to train
jogga,joggar,joggade,joggat,weak1,to jog
motionera,motionerar,motionerade,motionerat,weak1,to exercise
meditera,mediterar,mediterade,mediterat,weak1,to meditate
fundera,funderar,funderade,funderat,weak1,to ponder
upprepa,upprepar,upprepade,upprepat,weak1,to repeat
acceptera,accepterar,accepterade,accepterat,weak1,to accept
argumentera,argumenterar,argumenterade,argumenterat,weak1,to argue
kommentera,kommenterar,kommenterade,kommenterat,weak1,to comment
presentera,presenterar,presenterade,presenterat,weak1,to present
definiera,definierar,definierade,definierat,weak1,to define
identifiera,identifierar,identifierade,identifierat,weak1,to identify
analysera,analyserar,analyserade,analyserat,weak1,to analyse
fokusera,fokuserar,fokuserade,fokuserat,weak1,to focus
